חותמת זמן,איזה סוג ספורט תחרותי/קבוצתי אתה משחק בתדירות הגבוהה ביותר? (ניתן לבחור כמה),גיל,מין,אזור,"באיזו תדירות אתה משחק ספורט תחרותי או קבוצתי (כדורגל, כדורסל, פאדל טניס וכו')?",עד כמה חשוב לך לדעת אם אתה משתפר לאורך זמן?,מה אתה עושה היום כדי לעקוב אחרי הביצועים שלך? (ניתן לבחור כמה),מה הכי חסר לך כשאתה מסיים אימון או משחק מול חברים? (ניתן לבחור כמה),אם הייתה אפליקציה שנותנת לך דירוג אמיתי ובונה לך כרטיס שחקן עם סטטיסטיקות כמה סביר שהיית מתקין אותה?,"אם הייתה אפליקציה כזאת, זה היה מעלה לך את המוטיבציה לעשות ספורט?",באיזו פלטפורמה אתה בעיקר משתמש היום כדי לקבוע משחקים או למצוא שחקנים?,"מה המידע שהכי חסר לך כדי לצאת מהבית לשחק במגרש ציבורי? (לא חובה ניתן לבחור כמה)
","כשמתחשק לך פתאום לצאת לשחק עכשיו, עד כמה קשה לך למצוא שחקנים ברמה שלך?","אם הייתה לך גישה לקלף שחקן דיגיטלי מעוצב שכולל את ציון ה""אוברול"" שלך והסטטיסטיקות, האם היית משתף אותו ברשתות החברתיות (סטורי, וואטסאפ)?","מה ה""פיצ'ר חלומות"" שהיה גורם לך לפתוח אפליקציית ספורט כזו לפני או אחרי כל משחק?","האם היית מוכן לשלם עבור אפליקציה שתספק לך דירוג מדויק מול אחרים וניתוחי AI על הביצועים שלך (pace, shooting לדוגמא)?",עד כמה היית מעוניין להשתמש במערכת שתתעד באופן אוטומטי את תוצאת המשחק וסרטוני ההיילייטס במגרש הציבורי?,דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [דירוג אישי (Overall score)],"דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סטטיסטיקות ספציפיות (מהירות, מרחק, קליעות, שערים)]",דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סרטוני היילייטס ],דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [הכרה חברתית / פרסים]
02/04/2026 21:29:05,טניס,26-35,נקבה,באר שבע והדרום,3 פעמים בשבוע או יותר,3,"מעלה סרטונים ותמונות לרשתות החברתיות (אינסטגרם/טיקטוק), כלום","הכרה והערכה על ביצועים טובים, שום דבר, אני נהנה גם ככה",2,2,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,לא חשוב,חשוב מעט,חשוב מעט,לא חשוב
02/04/2026 21:29:28,טניס,19-25,נקבה,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,1,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",4,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,לא חשוב,חשוב מאוד,לא חשוב,לא חשוב
02/04/2026 21:32:02,טניס,26-35,נקבה,באר שבע והדרום,כמעט ולא משחק כרגע,3,כלום,"דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,2,קבוצות פייסבוק,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",5,"כנראה שלא, אני שומר את הנתונים לעצמי",חיפוש פרטנרים ברמה שלי. וגם מאמנים רציניים עם דירוגים של אנשים מניסיון כי נפלתי על ממש לא רציניים והכסף הלך לפח.,הייתי משתמש רק אם זה בחינם,1,חשוב מעט,חשוב מעט,לא חשוב,לא חשוב
02/04/2026 21:32:37,טניס,36-45,זכר,חיפה והצפון,1-2 פעמים בשבוע,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,,3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מעט,חשוב מאוד,לא חשוב,חשוב מעט
02/04/2026 21:34:52,"פאדל, טניס",36-45,נקבה,באר שבע והדרום,פעם בכמה שבועות,3,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",4,4,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,2,חשוב מעט,חשוב מאוד,חשוב מעט,חשוב מעט
02/04/2026 21:36:23,טניס,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,מעלה סרטונים ותמונות לרשתות החברתיות (אינסטגרם/טיקטוק),"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,אפליקציות ייעודיות,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 21:38:53,טניס,46+,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,4,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",פרטנרים בסביבה ודירוגים ,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,לא חשוב,לא חשוב
02/04/2026 21:42:51,טניס,עד 18,זכר,אזור השרון,3 פעמים בשבוע או יותר,5,כלום,"שום דבר, אני נהנה גם ככה",5,1,יורד למגרש ומצטרף לאנשים,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,אין לי רשתות חברתיות / לא מעלה כלום,מחיר הכי טוב בסביבה לטניס או מוצרי טניס ומנהל ספורט בעירייה שעושה עבודה הכי טובה בסביבה למען ספורט ולא למען רווח פולחטי,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 21:43:08,טניס,46+,זכר,באר שבע והדרום,1-2 פעמים בשבוע,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),3,חשוב מעט,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 21:44:36,טניס,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",5,1,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",1,תלוי כמה העיצוב יהיה מרשים,"צילום המשחק, אין והרוט, ספירת נקודות ודיינים, צילום היילטים",מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מאוד,חשוב מאוד,חשוב מאוד,לא חשוב
02/04/2026 21:51:22,"כדורגל, פאדל",36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,3,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",2,אין לי רשתות חברתיות / לא מעלה כלום,סטטיסטיקה מתקדמת ודירוג מדויק ואובייקטיבי ,הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 21:54:31,טניס,19-25,זכר,ירושלים והסביבה,1-2 פעמים בשבוע,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",4,אין לי רשתות חברתיות / לא מעלה כלום,סטטיסטיקות שעל פיהם ניתן לקבוע רמה,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 21:59:07,פאדל,26-35,זכר,אזור השרון,3 פעמים בשבוע או יותר,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,תלוי כמה העיצוב יהיה מרשים,,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מאוד,חשוב מעט,חשוב מאוד,חשוב מאוד
02/04/2026 22:00:00,"כדורגל, טניס",26-35,זכר,באר שבע והדרום,1-2 פעמים בשבוע,5,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,תלוי כמה העיצוב יהיה מרשים,מעקב אחר ביצועים ,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,3,חשוב מאוד,חשוב מעט,חשוב מעט,חשוב מאוד
02/04/2026 22:00:04,טניס,36-45,זכר,באר שבע והדרום,1-2 פעמים בשבוע,4,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,2,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",5,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מעט,חשוב מעט,לא חשוב
02/04/2026 22:07:50,טניס,36-45,זכר,באר שבע והדרום,1-2 פעמים בשבוע,4,כלום,"תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו), שום דבר, אני נהנה גם ככה",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"כמה אנשים נמצאים שם ברגע זה? (רמת עומס), שעות פעילות מדויקות",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",שאנשים יהיו אמיתיים עם הרמה שלהם,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,4,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מאוד
02/04/2026 22:11:16,פאדל,26-35,זכר,באר שבע והדרום,1-2 פעמים בשבוע,4,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 22:17:05,טניס,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",שעות פעילות מדויקות,4,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,חשוב מעט,חשוב מעט,חשוב מעט,חשוב מאוד
02/04/2026 22:18:54,פאדל,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,3,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,2,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,"כנראה שלא, אני שומר את הנתונים לעצמי","דירוג אמיתי של שחקנים
חיפוש שחקנים לפי רמה",הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,3,חשוב מאוד,חשוב מאוד,לא חשוב,לא חשוב
02/04/2026 22:19:26,"פאדל, טניס שולחן",26-35,זכר,אזור השרון,3 פעמים בשבוע או יותר,5,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",4,אין לי רשתות חברתיות / לא מעלה כלום,סטטיסטיקה של הטעויות שלי במגרש,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 22:36:28,טניס,36-45,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,"משתמש באפליקציות ייעודיות לניהול קבוצות, זוכר בראש מי ניצח וכמה הבקעתי","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,3,אפליקציות ייעודיות,,3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,חשוב מעט,חשוב מעט,חשוב מעט,חשוב מעט
02/04/2026 22:39:51,טניס,46+,זכר,ירושלים והסביבה,3 פעמים בשבוע או יותר,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",5,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",2,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,3,חשוב מעט,חשוב מעט,חשוב מאוד,לא חשוב
02/04/2026 22:42:06,טניס,36-45,זכר,אזור השרון,פעם בכמה שבועות,4,כלום,"הכרה והערכה על ביצועים טובים, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,4,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",4,"כנראה שלא, אני שומר את הנתונים לעצמי","מידע והצטרםות לטורנירין מקומיים ביוזמה פרטית, פרסום על ציוד ספורט, זמינות מגרשים לפי מיקום רלבנטי",הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 22:43:13,"כדורגל, פאדל, טניס",19-25,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,זוכר בראש מי ניצח וכמה הבקעתי,"שום דבר, אני נהנה גם ככה",5,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","כמה אנשים נמצאים שם ברגע זה? (רמת עומס), שעות פעילות מדויקות",1,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,2,חשוב מעט,חשוב מאוד,חשוב מאוד,חשוב מעט
02/04/2026 22:44:19,"כדורגל, פאדל, טניס, טניס שולחן",26-35,זכר,תל אביב והמרכז,פעם בכמה שבועות,3,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 22:45:45,"פאדל, טניס",26-35,נקבה,תל אביב והמרכז,פעם בכמה שבועות,3,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",1,1,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),2,"כנראה שלא, אני שומר את הנתונים לעצמי",,לא הייתי משתמש / לא מעניין אותי,2,חשוב מאוד,חשוב מעט,חשוב מעט,חשוב מאוד
02/04/2026 22:57:02,טניס,26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,זוכר בראש מי ניצח וכמה הבקעתי,"תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,2,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",כמה אנשים נמצאים שם ברגע זה? (רמת עומס),4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 22:58:25,פאדל,36-45,זכר,אזור השרון,1-2 פעמים בשבוע,3,זוכר בראש מי ניצח וכמה הבקעתי,דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין),4,4,קבוצות וואטסאפ של השכונה/החבר'ה,,4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,לא חשוב,חשוב מעט,חשוב מאוד
02/04/2026 23:12:54,טניס,26-35,זכר,חיפה והצפון,1-2 פעמים בשבוע,5,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,יורד למגרש ומצטרף לאנשים,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),5,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מאוד,לא חשוב,לא חשוב
02/04/2026 23:14:59,"כדורגל, טניס",26-35,זכר,חיפה והצפון,3 פעמים בשבוע או יותר,5,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),2,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מעט,חשוב מעט,לא חשוב
02/04/2026 23:25:10,טניס,26-35,זכר,חיפה והצפון,1-2 פעמים בשבוע,4,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,תלוי כמה העיצוב יהיה מרשים,,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מאוד,חשוב מעט,חשוב מאוד,חשוב מאוד
02/04/2026 23:28:51,פאדל,26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,כלום,דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין),5,3,קבוצות וואטסאפ של השכונה/החבר'ה,,3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,לא הייתי משתמש / לא מעניין אותי,3,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 23:33:17,טניס,19-25,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin), מעלה סרטונים ותמונות לרשתות החברתיות (אינסטגרם/טיקטוק), זוכר בראש מי ניצח וכמה הבקעתי","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מעט
02/04/2026 23:37:45,טניס,46+,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin), מעלה סרטונים ותמונות לרשתות החברתיות (אינסטגרם/טיקטוק)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",5,3,אפליקציות ייעודיות,,3,תלוי כמה העיצוב יהיה מרשים,אין כזה,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,4,חשוב מעט,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 23:40:34,טניס,26-35,זכר,באר שבע והדרום,3 פעמים בשבוע או יותר,3,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), שום דבר, אני נהנה גם ככה",4,3,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),2,"כנראה שלא, אני שומר את הנתונים לעצמי","לדעת בטווח הזמן המיידי האם הכדור היה בפנים/בחוץ ומה התוצאה המדוייקת(טניס),הבנתי שיש משהו כזה אבל לא הצלחתי להשתמש",הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מעט,חשוב מאוד,חשוב מאוד,לא חשוב
